月份,日期,开始时间,故障类别,持续时长（秒）
5,2,14922,A2,493
5,2,22394,A2,425
5,2,28437,A4,363
5,3,2782,A4,833
5,3,4455,A4,707
5,3,8539,A2,475
5,3,10512,A2,594
5,3,12279,A4,747
5,3,17341,A2,491
5,3,18987,A2,560
5,3,23275,A4,843
5,3,26228,A2,559
5,3,26907,A1,582
5,4,1441,A2,674
5,4,4124,A2,705
5,4,8126,A2,533
5,4,8911,A2,446
5,4,9623,A2,628
5,4,14640,A2,566
5,4,17467,A2,638
5,4,19351,A2,496
5,4,21821,A2,703
5,4,26332,A2,508
5,4,27015,A2,650
5,4,28373,A3,427
5,5,846,A2,656
5,5,5062,A4,614
5,5,6750,A2,613
5,5,8868,A2,518
5,5,9659,A2,508
5,5,13870,A2,603
5,5,17330,A1,550
5,5,18033,A2,558
5,5,21258,A2,589
5,5,22698,A4,762
5,5,26907,A2,543
5,5,27821,A2,560
5,6,1294,A2,592
5,6,5666,A2,624
5,6,8208,A2,518
5,6,9272,A2,522
5,6,10957,A1,404
5,6,15644,A2,603
5,6,16912,A2,630
5,6,17878,A2,519
5,6,22626,A3,828
5,6,26057,A2,541
5,6,26759,A2,585
5,7,6999,A2,400
5,7,13965,A2,552
5,7,14937,A2,442
5,7,16269,A3,613
5,7,22992,A2,528
5,8,1140,A2,539
5,8,3989,A2,549
5,8,5718,A4,769
5,8,8702,A2,650
5,8,9492,A2,548
5,8,13120,A2,526
5,8,15865,A2,549
5,8,17598,A1,449
5,8,18564,A2,388
5,8,21007,A4,724
5,8,22536,A4,869
5,8,25729,A4,888
5,8,28006,A2,559
5,9,741,A2,484
5,9,4950,A3,851
5,9,8313,A2,398
5,9,9586,A2,653
5,9,11688,A2,620
5,9,16820,A4,841
5,9,17804,A2,522
5,9,19583,A4,736
5,9,23563,A2,628
5,9,26676,A2,592
5,10,244,A2,621
5,10,7103,A1,452
5,10,8065,A2,530
5,10,11739,A1,360
5,10,15889,A4,608
5,10,20053,A4,871
5,10,22828,A4,661
5,10,25046,A2,581
5,10,27167,A2,637
5,11,783,A2,646
5,11,3526,A4,771
5,11,5442,A3,725
5,11,7567,A1,494
5,11,9614,A2,367
5,11,11280,A4,881
5,11,13228,A2,582
5,11,16141,A2,558
5,11,17238,A2,597
5,11,19564,A2,388
5,11,21128,A2,587
5,11,22321,A4,730
5,11,24279,A2,655
5,11,26663,A2,596
5,12,4119,A4,669
5,12,7633,A2,531
5,12,9127,A4,744
5,12,11604,A3,678
5,12,16558,A2,423
5,12,17776,A4,897
5,12,24507,A2,682
5,12,25539,A2,516
5,13,980,A3,872
5,13,5037,A1,390
5,13,7582,A2,693
5,13,8954,A2,511
5,13,11803,A2,567
5,13,16760,A3,683
5,13,17701,A2,411
5,13,20822,A1,480
5,13,22078,A2,693
5,13,25893,A2,619
5,13,26876,A2,369
5,14,1063,A2,494
5,14,3140,A1,554
5,14,5779,A2,556
5,14,6783,A2,599
5,14,9195,A2,495
5,14,11259,A3,777
5,14,14325,A1,596
5,14,16355,A2,559
5,14,18153,A2,701
5,14,19288,A2,549
5,14,21384,A2,586
5,14,22565,A2,641
5,14,26258,A2,661
5,14,27850,A2,581
5,15,3408,A2,584
5,15,7583,A2,463
5,15,9072,A4,782
5,15,15492,A2,578
5,15,16392,A2,476
5,15,21320,A2,533
5,15,24366,A2,450
5,15,25587,A1,483
5,16,1028,A2,553
5,16,4192,A2,634
5,16,7532,A4,840
5,16,8998,A2,406
5,16,11483,A2,517
5,16,14384,A4,890
5,16,17423,A4,736
5,16,18547,A2,365
5,16,20130,A2,521
5,16,22919,A2,598
5,16,25974,A2,499
5,16,27523,A2,509
5,17,2103,A4,619
5,17,7611,A2,599
5,17,8480,A4,811
5,17,13834,A4,848
5,17,16848,A2,481
5,17,24315,A2,442
5,17,26473,A1,430
5,17,28649,A4,151
5,18,1022,A3,636
5,18,5140,A4,830
5,18,8465,A2,520
5,18,10081,A4,886
5,18,13686,A2,705
5,18,15133,A2,633
5,18,18174,A2,408
5,18,21400,A4,709
5,18,22665,A2,602
5,18,26858,A2,511
5,18,28315,A3,485
5,19,637,A3,877
5,19,5017,A4,644
5,19,6340,A4,797
5,19,9296,A2,528
5,19,10251,A2,642
5,19,14197,A2,509
5,19,16834,A2,712
5,19,18673,A2,382
5,19,19916,A2,535
5,19,22657,A3,662
5,19,24428,A4,728
5,19,27959,A2,599
5,20,1690,A4,657
5,20,4415,A2,505
5,20,8154,A2,554
5,20,8810,A4,827
5,20,13417,A4,694
5,20,16845,A3,678
5,20,17893,A2,550
5,20,20586,A3,688
5,20,25729,A4,757
5,20,26853,A2,480
5,21,2065,A3,794
5,21,4895,A2,693
5,21,7926,A2,628
5,21,9093,A2,436
5,21,10768,A2,666
5,21,13541,A2,510
5,21,15871,A2,670
5,21,18368,A2,521
5,21,20374,A3,885
5,21,22938,A2,581
5,21,25570,A2,605
5,21,27953,A2,438
5,22,1462,A2,677
5,22,2650,A2,541
5,22,6292,A2,498
5,22,8477,A2,710
5,22,9390,A2,369
5,22,12272,A2,555
5,22,13149,A2,546
5,22,16972,A1,406
5,22,18231,A2,480
5,22,19481,A2,611
5,22,22437,A2,582
5,22,24125,A2,502
5,22,26209,A2,669
5,22,28054,A2,545
5,23,1231,A2,703
5,23,3289,A4,727
5,23,6693,A2,504
5,23,8307,A4,884
5,23,9810,A2,485
5,23,10834,A2,539
5,23,14093,A4,829
5,23,15727,A4,820
5,23,18962,A4,857
5,23,20326,A2,536
5,23,22213,A2,546
5,23,24552,A3,750
5,23,27541,A2,606
5,24,857,A4,645
5,24,2877,A2,564
5,24,4799,A2,632
5,24,7895,A2,603
5,24,9429,A2,502
5,24,10890,A2,577
5,24,13630,A2,638
5,24,15388,A2,583
5,24,16629,A2,588
5,24,19303,A2,449
5,24,20998,A2,512
5,24,22427,A2,611
5,24,25433,A3,699
5,24,27720,A2,689
5,25,1379,A3,630
5,25,2799,A2,678
5,25,4618,A2,596
5,25,7979,A2,704
5,25,9579,A2,594
5,25,10726,A2,610
5,25,12183,A2,555
5,25,14684,A2,509
5,25,16352,A4,712
5,25,18415,A4,823
5,25,20368,A2,583
5,25,21606,A4,709
5,25,24286,A3,859
5,25,27503,A2,554
5,25,28519,A2,281
5,26,273,A1,455
5,26,2803,A4,726
5,26,6136,A2,537
5,26,8010,A2,631
5,26,9313,A2,385
5,26,12002,A3,846
5,26,13722,A2,660
5,26,17396,A4,779
5,26,18962,A2,375
5,26,20583,A2,599
5,26,21798,A2,688
5,26,25161,A1,409
5,26,27466,A2,484
5,26,28510,A2,290
5,27,1078,A1,394
5,27,1933,A2,658
5,27,4460,A2,641
5,27,6683,A2,652
5,27,8435,A3,745
5,27,10075,A2,377
5,27,10585,A2,511
5,27,12076,A2,610
5,27,14076,A4,756
5,27,16487,A2,634
5,27,17947,A2,568
5,27,19523,A2,502
5,27,21019,A2,455
5,27,23532,A2,527
5,27,24805,A4,848
5,27,26678,A2,693
5,28,143,A4,743
5,28,3742,A4,872
5,28,5268,A2,614
5,28,8437,A2,633
5,28,9840,A2,560
5,28,11058,A2,708
5,28,13174,A3,896
5,28,15525,A2,504
5,28,17507,A1,441
5,28,19351,A4,826
5,28,20747,A2,480
5,28,22165,A2,669
5,28,25347,A2,536
5,28,27283,A2,585
5,28,28477,A2,323
5,29,3223,A4,601
5,29,4429,A2,514
5,29,8079,A2,517
5,29,12009,A4,644
5,29,13461,A2,636
5,29,16848,A2,463
5,29,18925,A4,602
5,29,24077,A4,851
5,29,25750,A2,441
5,29,28340,A2,460
5,30,2495,A4,787
5,30,4972,A2,646
5,30,7515,A2,639
5,30,9043,A2,574
5,30,11763,A4,866
5,30,15887,A2,631
5,30,17898,A3,863
5,30,18942,A2,597
5,30,21594,A4,892
5,30,26829,A2,696
5,30,28127,A2,440
5,30,28683,A4,117
5,31,1287,A2,533
5,31,4929,A3,820
5,31,8331,A2,504
5,31,12553,A3,616
5,31,15727,A4,878
5,31,17322,A2,549
5,31,18939,A4,721
5,31,23689,A3,646
5,31,26210,A2,555
5,31,28463,A4,337
6,1,301,A1,537
6,1,3106,A3,845
6,1,5998,A4,737
6,1,9104,A2,540
6,1,10593,A4,707
6,1,12984,A3,702
6,1,16073,A3,828
6,1,17289,A4,837
6,1,19711,A2,587
6,1,22090,A2,706
6,1,24669,A4,812
6,1,27056,A4,731
6,2,1609,A2,543
6,2,7514,A2,434
6,2,10118,A2,617
6,2,15537,A2,599
6,2,21908,A4,746
6,2,23875,A2,580
6,3,626,A4,685
6,3,3044,A1,585
6,3,5620,A4,750
6,3,8743,A4,750
6,3,9741,A2,415
6,3,12106,A4,652
6,3,15016,A1,373
6,3,16638,A4,805
6,3,18958,A2,540
6,3,21406,A4,886
6,3,24742,A4,643
6,3,25815,A2,601
6,3,28593,A2,207
6,4,920,A4,744
6,4,5640,A4,802
6,4,8531,A2,506
6,4,14491,A3,762
6,4,16785,A2,420
6,4,18714,A4,700
6,4,22480,A4,836
6,4,24667,A4,840
6,4,26567,A2,579
6,4,28753,A4,47
6,5,2380,A3,715
6,5,5405,A1,457
6,5,7013,A4,756
6,5,8920,A2,568
6,5,11781,A4,631
6,5,13945,A4,656
6,5,17142,A4,660
6,5,18414,A2,600
6,5,22798,A4,843
6,5,26147,A4,624
6,5,27481,A2,525
6,6,433,A2,584
6,6,4399,A3,870
6,6,6283,A2,500
6,6,7890,A3,890
6,6,9843,A2,461
6,6,12387,A4,622
6,6,14713,A2,590
6,6,16801,A2,691
6,6,18647,A2,653
6,6,19853,A2,551
6,6,22042,A2,570
6,6,26126,A2,698
6,6,27752,A4,845
6,7,720,A2,715
6,7,2674,A2,714
6,7,5475,A3,716
6,7,7282,A2,612
6,7,9728,A2,553
6,7,11387,A2,691
6,7,13471,A2,692
6,7,14986,A4,831
6,7,18004,A2,608
6,7,19816,A2,642
6,7,20717,A2,483
6,7,22975,A4,633
6,7,26299,A2,646
6,7,28346,A3,454
6,8,822,A4,711
6,8,3819,A1,448
6,8,6290,A1,533
6,8,8656,A2,376
6,8,10453,A2,710
6,8,13432,A3,623
6,8,15251,A2,678
6,8,18015,A2,387
6,8,19148,A4,630
6,8,21987,A3,706
6,8,24184,A3,662
6,8,27393,A2,557
6,8,28199,A4,601
6,9,1021,A2,487
6,9,7479,A2,496
6,9,14947,A2,500
6,9,18479,A3,666
6,9,21609,A3,702
6,9,23815,A2,392
6,10,1693,A2,594
6,10,6050,A4,652
6,10,8231,A2,368
6,10,9250,A2,564
6,10,12201,A2,685
6,10,15161,A2,604
6,10,17417,A2,587
6,10,19688,A4,870
6,10,24929,A2,549
6,10,26423,A2,440
6,10,27221,A1,462
6,11,2575,A2,530
6,11,3890,A1,481
6,11,7989,A2,483
6,11,8858,A3,854
6,11,11909,A2,606
6,11,16194,A4,747
6,11,17672,A2,542
6,11,20503,A2,622
6,11,22862,A1,389
6,11,26204,A2,435
6,11,27269,A2,590
6,12,321,A2,481
6,12,2783,A2,634
6,12,7435,A2,700
6,12,8800,A2,481
6,12,9701,A2,713
6,12,12080,A2,703
6,12,16710,A2,678
6,12,17956,A1,408
6,12,18769,A2,487
6,12,21601,A2,615
6,12,25716,A2,583
6,12,27433,A2,451
6,12,27996,A2,630
6,13,979,A2,676
6,13,2177,A4,773
6,13,4273,A4,737
6,13,7603,A2,578
6,13,8584,A4,743
6,13,10499,A2,497
6,13,11319,A1,507
6,13,12869,A3,735
6,13,15396,A3,673
6,13,17895,A2,669
6,13,19289,A4,855
6,13,21428,A2,399
6,13,22051,A2,640
6,13,24676,A4,840
6,13,27122,A2,500
6,13,28620,A4,180
6,14,689,A4,664
6,14,7628,A2,475
6,14,9374,A4,830
6,14,12864,A4,848
6,14,16774,A2,489
6,14,18548,A4,721
6,14,20568,A3,678
6,14,25662,A2,519
6,14,28653,A1,147
6,15,1120,A3,622
6,15,4734,A4,855
6,15,6460,A2,533
6,15,8974,A2,573
6,15,9768,A4,756
6,15,13639,A4,686
6,15,14801,A4,861
6,15,17507,A3,897
6,15,19719,A2,392
6,15,21987,A2,526
6,15,24260,A4,860
6,15,27878,A4,882
6,16,2128,A3,830
6,16,4165,A4,817
6,16,6445,A4,775
6,16,9194,A4,639
6,16,10025,A2,419
6,16,14207,A4,746
6,16,16360,A4,626
6,16,18795,A2,514
6,16,19736,A2,634
6,16,22177,A3,632
6,16,25216,A2,693
6,16,28118,A4,682
6,17,2992,A4,691
6,17,5433,A4,714
6,17,8404,A2,400
6,17,9302,A1,483
6,17,16263,A4,700
6,17,20417,A2,566
6,17,22544,A2,715
6,17,25247,A2,591
6,17,27504,A2,504
6,18,125,A2,543
6,18,3203,A1,581
6,18,6835,A2,565
6,18,7859,A4,781
6,18,9462,A2,443
6,18,11529,A2,673
6,18,13956,A4,780
6,18,17788,A4,606
6,18,18712,A2,605
6,18,19555,A2,374
6,18,23170,A2,686
6,18,24745,A2,509
6,18,27141,A4,836
6,19,965,A2,591
6,19,2809,A2,684
6,19,5128,A4,881
6,19,7937,A2,702
6,19,9843,A2,483
6,19,12202,A2,511
6,19,13928,A4,896
6,19,16990,A2,487
6,19,18968,A2,693
6,19,19913,A2,492
6,19,22260,A2,672
6,19,23520,A2,707
6,19,25879,A2,701
6,19,28148,A2,615
6,20,916,A2,497
6,20,3482,A4,754
6,20,5177,A2,672
6,20,7676,A2,589
6,20,9504,A2,508
6,20,10390,A2,481
6,20,14280,A2,500
6,20,15711,A2,687
6,20,18187,A4,872
6,20,19531,A2,481
6,20,21874,A2,528
6,20,24327,A2,570
6,20,25626,A3,603
6,20,28699,A2,101
6,21,717,A4,723
6,21,2759,A2,502
6,21,5634,A2,579
6,21,6696,A2,634
6,21,9280,A4,659
6,21,10089,A2,536
6,21,12319,A2,686
6,21,15371,A2,528
6,21,17170,A4,880
6,21,19443,A4,868
6,21,20587,A2,413
6,21,21760,A4,696
6,21,24692,A2,693
6,21,26008,A2,690
6,22,566,A2,549
6,22,3670,A2,590
6,22,5597,A2,644
6,22,8222,A2,564
6,22,9346,A2,430
6,22,10354,A4,863
6,22,12684,A3,727
6,22,15447,A2,483
6,22,16932,A3,815
6,22,19580,A2,503
6,22,22331,A3,876
6,22,24281,A4,862
6,22,27765,A1,376
6,23,357,A3,616
6,23,3037,A2,514
6,23,5980,A2,539
6,23,8654,A2,525
6,23,9925,A4,662
6,23,11647,A2,550
6,23,14627,A3,644
6,23,18014,A2,496
6,23,19207,A4,689
6,23,22409,A4,746
6,23,25773,A4,842
6,23,27780,A2,558
6,24,1155,A1,598
6,24,4794,A4,871
6,24,8447,A2,414
6,24,9005,A4,795
6,24,12446,A4,867
6,24,15259,A4,690
6,24,18213,A2,398
6,24,19889,A4,803
6,24,25477,A1,398
6,24,26634,A4,779
6,24,27556,A2,519
6,25,1333,A4,850
6,25,2869,A4,763
6,25,5063,A2,594
6,25,7575,A2,621
6,25,9813,A2,577
6,25,11048,A2,680
6,25,12309,A2,700
6,25,14980,A4,724
6,25,17933,A2,666
6,25,19597,A4,729
6,25,20868,A2,585
6,25,23403,A4,815
6,25,24876,A4,697
6,25,26717,A2,619
6,26,1253,A3,756
6,26,5624,A4,763
6,26,8484,A1,535
6,26,10009,A4,756
6,26,15714,A4,749
6,26,17523,A2,382
6,26,18882,A4,879
6,26,20545,A4,694
6,26,25142,A3,624
6,26,27067,A2,435
6,26,28507,A4,293
6,27,430,A4,642
6,27,2840,A1,594
6,27,5509,A4,652
6,27,7148,A4,718
6,27,9598,A2,578
6,27,11996,A2,584
6,27,14211,A2,707
6,27,16480,A3,623
6,27,18495,A2,687
6,27,19490,A2,540
6,27,20303,A2,509
6,27,23234,A2,561
6,27,24541,A4,794
6,27,26746,A1,452
6,28,244,A2,502
6,28,3364,A2,603
6,28,4969,A3,786
6,28,8862,A2,508
6,28,9678,A2,615
6,28,12603,A2,607
6,28,14705,A4,721
6,28,17320,A1,478
6,28,18665,A2,496
6,28,19266,A2,413
6,28,21751,A2,705
6,28,24521,A2,697
6,28,27248,A2,699
6,28,28745,A2,55
6,29,472,A4,812
6,29,4560,A4,834
6,29,6822,A4,811
6,29,9239,A2,585
6,29,10006,A2,464
6,29,11797,A4,799
6,29,15690,A4,606
6,29,17335,A2,660
6,29,19535,A2,419
6,29,21197,A4,787
6,29,24434,A4,803
6,29,27939,A4,782
6,30,972,A2,490
6,30,3758,A2,670
6,30,4705,A4,728
6,30,7144,A2,494
6,30,9353,A2,530
6,30,10657,A4,672
6,30,13089,A2,481
6,30,15460,A2,652
6,30,17327,A4,874
6,30,19555,A2,449
6,30,20642,A3,607
6,30,23390,A2,539
6,30,25305,A4,886
6,30,28056,A2,599
7,1,1567,A2,500
7,1,3415,A4,798
7,1,7759,A1,440
7,1,8737,A2,381
7,1,12219,A2,525
7,1,16171,A4,797
7,1,17412,A2,407
7,1,20248,A2,535
7,1,22131,A4,696
7,1,26015,A2,492
7,1,28411,A2,389
7,2,2981,A2,690
7,2,7630,A4,851
7,2,8859,A4,789
7,2,15538,A2,557
7,2,16865,A2,506
7,2,18702,A3,774
7,2,24606,A2,611
7,2,25721,A2,532
7,3,2064,A2,513
7,3,3081,A2,660
7,3,6681,A2,605
7,3,8770,A2,572
7,3,11177,A3,702
7,3,14251,A2,675
7,3,16200,A2,498
7,3,18217,A2,437
7,3,20349,A3,862
7,3,22911,A2,688
7,3,26098,A2,704
7,3,27880,A2,443
7,4,1525,A2,579
7,4,4513,A3,794
7,4,8124,A4,639
7,4,9004,A2,531
7,4,12325,A4,728
7,4,15384,A4,673
7,4,17929,A2,501
7,4,18728,A4,776
7,4,21331,A4,694
7,4,26337,A4,883
7,4,27762,A2,583
7,5,1617,A3,632
7,5,3669,A2,712
7,5,7279,A2,592
7,5,8921,A2,386
7,5,11415,A1,371
7,5,14578,A2,696
7,5,16192,A1,406
7,5,17780,A2,557
7,5,21074,A2,695
7,5,24745,A3,711
7,5,26743,A2,424
7,5,28161,A2,639
7,6,1287,A2,541
7,6,3519,A4,743
7,6,5546,A2,574
7,6,8822,A2,436
7,6,9888,A2,565
7,6,12263,A4,751
7,6,13546,A4,817
7,6,17699,A3,850
7,6,19220,A2,564
7,6,20260,A2,598
7,6,23032,A4,647
7,6,24711,A2,684
7,6,27982,A4,818
7,7,1557,A4,739
7,7,5999,A4,856
7,7,8559,A2,407
7,7,10885,A3,657
7,7,13995,A4,840
7,7,17236,A4,725
7,7,18167,A2,385
7,7,23281,A4,838
7,7,26355,A2,470
7,7,27784,A2,554
7,8,1000,A2,480
7,8,5086,A1,531
7,8,8003,A2,512
7,8,8809,A2,503
7,8,11615,A2,618
7,8,15086,A4,796
7,8,17418,A2,549
7,8,19644,A4,748
7,8,23283,A4,746
7,8,26461,A2,587
7,8,28396,A4,404
7,9,1833,A2,660
7,9,4390,A2,617
7,9,8276,A2,385
7,9,11139,A2,680
7,9,14045,A2,681
7,9,16659,A3,608
7,9,17616,A2,547
7,9,19441,A4,885
7,9,23815,A2,612
7,9,25477,A2,528
7,9,27160,A2,494
7,10,567,A1,564
7,10,4501,A4,609
7,10,6541,A2,486
7,10,8637,A2,597
7,10,10022,A4,803
7,10,11556,A2,601
7,10,14835,A4,664
7,10,18267,A2,548
7,10,19221,A2,650
7,10,20334,A1,412
7,10,23101,A4,739
7,10,26902,A2,511
7,10,28092,A2,587
7,11,1228,A4,742
7,11,3797,A4,673
7,11,6049,A3,709
7,11,9123,A2,539
7,11,10359,A4,693
7,11,13180,A4,717
7,11,15101,A4,682
7,11,18649,A2,481
7,11,21091,A3,610
7,11,22432,A4,872
7,11,25432,A4,844
7,11,28512,A2,288
7,12,1564,A4,747
7,12,3778,A1,445
7,12,6861,A2,610
7,12,8766,A2,469
7,12,10149,A4,873
7,12,12163,A4,810
7,12,14786,A4,744
7,12,18627,A2,384
7,12,19337,A4,611
7,12,21019,A4,604
7,12,23180,A2,581
7,12,26635,A4,752
7,12,28538,A2,262
7,13,1035,A2,639
7,13,4356,A3,823
7,13,5907,A1,486
7,13,8933,A2,361
7,13,10001,A2,516
7,13,11812,A2,604
7,13,15094,A4,641
7,13,18041,A2,551
7,13,19398,A3,659
7,13,22149,A2,659
7,13,24555,A4,712
7,13,27559,A2,486
7,14,1669,A4,696
7,14,5743,A1,401
7,14,8061,A2,482
7,14,9436,A4,628
7,14,12094,A4,707
7,14,15503,A4,731
7,14,17609,A2,477
7,14,19616,A4,733
7,14,23901,A2,627
7,14,26425,A2,501
7,14,27070,A4,628
7,15,2442,A2,617
7,15,4908,A1,555
7,15,8171,A2,562
7,15,11148,A2,708
7,15,12528,A2,566
7,15,16979,A2,579
7,15,19567,A2,512
7,15,21549,A2,623
7,15,24195,A2,488
7,15,26174,A2,426
7,16,3020,A4,616
7,16,7594,A2,513
7,16,10362,A3,891
7,16,14557,A1,406
7,16,16390,A2,399
7,16,20636,A4,696
7,16,24332,A1,566
7,16,25030,A2,470
7,17,672,A1,436
7,17,5300,A2,592
7,17,7999,A2,438
7,17,11231,A1,366
7,17,15083,A1,479
7,17,16254,A2,473
7,17,18201,A4,864
7,17,21669,A4,892
7,17,25469,A2,489
7,17,27572,A4,806
7,18,2061,A4,616
7,18,3391,A4,786
7,18,5871,A4,752
7,18,9139,A2,519
7,18,11307,A4,887
7,18,14525,A4,670
7,18,15685,A4,765
7,18,18294,A2,655
7,18,19635,A2,435
7,18,22240,A2,666
7,18,25990,A4,889
7,18,28261,A2,501
7,19,2666,A2,573
7,19,5241,A2,605
7,19,7635,A4,853
7,19,9016,A2,558
7,19,12522,A3,646
7,19,17192,A2,407
7,19,19447,A2,693
7,19,20407,A3,757
7,19,24457,A4,638
7,19,26687,A2,459
7,20,1221,A4,873
7,20,2895,A2,711
7,20,6253,A3,726
7,20,9106,A2,683
7,20,9957,A2,520
7,20,11304,A1,524
7,20,13592,A1,365
7,20,15553,A1,470
7,20,17808,A3,884
7,20,19713,A2,528
7,20,21680,A4,847
7,20,24728,A2,641
7,20,26622,A2,509
7,21,1277,A4,768
7,21,3249,A4,674
7,21,7143,A4,708
7,21,8915,A4,808
7,21,9943,A2,394
7,21,12406,A4,893
7,21,14878,A1,466
7,21,17909,A4,853
7,21,19549,A2,360
7,21,20641,A4,721
7,21,22293,A4,727
7,21,25033,A1,585
7,21,27899,A2,601
7,22,1581,A2,650
7,22,5255,A2,507
7,22,8128,A2,466
7,22,9203,A2,676
7,22,10419,A3,671
7,22,14925,A2,504
7,22,17445,A2,578
7,22,19581,A4,864
7,22,23171,A2,537
7,22,25444,A2,574
7,22,26970,A2,536
7,22,27962,A3,664
7,23,185,A4,648
7,23,3605,A4,624
7,23,6938,A4,794
7,23,9058,A2,388
7,23,10136,A4,655
7,23,11817,A3,723
7,23,14783,A4,794
7,23,17306,A4,649
7,23,19260,A2,536
7,23,21144,A4,604
7,23,22458,A2,691
7,23,26229,A2,622
7,23,27716,A4,822
7,24,553,A3,713
7,24,4300,A4,887
7,24,8578,A2,576
7,24,9484,A1,516
7,24,14179,A3,602
7,24,17258,A2,554
7,24,19846,A4,843
7,24,23752,A1,512
7,24,26160,A2,543
7,24,27757,A4,727
7,25,1641,A4,875
7,25,7839,A2,362
7,25,8835,A4,877
7,25,11763,A4,689
7,25,16746,A2,462
7,25,19102,A4,844
7,25,24643,A4,896
7,25,25927,A2,545
7,25,26903,A4,600
7,26,790,A2,712
7,26,5948,A3,853
7,26,8543,A2,498
7,26,10154,A2,537
7,26,11619,A4,846
7,26,15247,A2,645
7,26,18055,A2,449
7,26,19040,A4,710
7,26,22757,A3,758
7,26,26972,A2,585
7,26,27690,A2,506
7,27,531,A2,508
7,27,3265,A2,683
7,27,7211,A3,673
7,27,8842,A2,550
7,27,11352,A2,517
7,27,13108,A2,538
7,27,16999,A2,641
7,27,18053,A2,563
7,27,19317,A1,438
7,27,23387,A2,536
7,27,26590,A2,432
7,27,27520,A3,671
7,28,1071,A1,419
7,28,3877,A3,704
7,28,6302,A2,681
7,28,8796,A2,544
7,28,10622,A1,476
7,28,13817,A4,626
7,28,17414,A2,553
7,28,18223,A4,705
7,28,19449,A2,568
7,28,22474,A2,663
7,28,26295,A3,833
7,28,27708,A2,498
7,29,552,A2,661
7,29,3075,A2,522
7,29,5659,A4,672
7,29,8088,A4,859
7,29,9160,A2,533
7,29,10211,A2,393
7,29,12785,A4,716
7,29,15289,A2,647
7,29,17774,A4,817
7,29,19182,A2,527
7,29,20283,A2,505
7,29,22202,A2,660
7,29,25081,A2,480
7,29,26615,A4,839
7,29,28196,A4,604
7,30,209,A2,639
7,30,3501,A2,680
7,30,6526,A2,490
7,30,8577,A2,648
7,30,9435,A2,384
7,30,12119,A4,789
7,30,14808,A2,491
7,30,18078,A2,518
7,30,18933,A3,715
7,30,21695,A4,754
7,30,22767,A2,550
7,30,27105,A1,481
7,30,28061,A2,417
7,30,28765,A2,35
7,31,1196,A2,541
7,31,2469,A4,797
7,31,5523,A2,538
7,31,6670,A2,595
7,31,9442,A2,517
7,31,11006,A4,610
7,31,14059,A4,833
7,31,15095,A4,720
7,31,17771,A2,517
7,31,19440,A4,823
7,31,20462,A2,473
7,31,22944,A2,497
7,31,24936,A4,635
7,31,27394,A2,513
8,1,812,A1,547
8,1,2447,A4,601
8,1,5022,A4,893
8,1,7409,A2,577
8,1,9617,A2,525
8,1,10510,A4,606
8,1,12155,A2,664
8,1,14843,A3,614
8,1,17392,A4,894
8,1,18909,A4,679
8,1,20599,A2,545
8,1,21999,A3,733
8,1,25055,A2,709
8,1,26247,A2,695
8,2,174,A2,487
8,2,1949,A2,537
8,2,5087,A4,664
8,2,6364,A3,746
8,2,9388,A4,614
8,2,11556,A4,843
8,2,12570,A2,529
8,2,14556,A1,373
8,2,17028,A2,519
8,2,18766,A1,421
8,2,19669,A2,565
8,2,20917,A4,766
8,2,23213,A3,697
8,2,26405,A4,809
8,2,27889,A2,577
8,3,1399,A2,496
8,3,2634,A4,715
8,3,4287,A4,897
8,3,7095,A4,873
8,3,9294,A2,591
8,3,10557,A2,470
8,3,12991,A4,748
8,3,13949,A4,626
8,3,17389,A4,693
8,3,18309,A2,592
8,3,20532,A2,678
8,3,21336,A2,495
8,3,23624,A3,877
8,3,26825,A3,653
8,3,28786,A2,14
8,4,1134,A3,801
8,4,7013,A4,627
8,4,8399,A2,549
8,4,11083,A2,550
8,4,12519,A4,747
8,4,17231,A2,426
8,4,19537,A4,882
8,4,21151,A1,597
8,4,24449,A2,495
8,4,26596,A2,394
8,5,2240,A3,633
8,5,6159,A4,862
8,5,8480,A2,374
8,5,9726,A4,795
8,5,14945,A4,847
8,5,17489,A2,596
8,5,19975,A2,589
8,5,23638,A1,444
8,5,26104,A2,451
8,5,26972,A4,777
8,6,2873,A4,865
8,6,5785,A2,617
8,6,8474,A2,458
8,6,10542,A2,540
8,6,12798,A3,745
8,6,16854,A3,634
8,6,17816,A2,370
8,6,20111,A2,668
8,6,22533,A4,697
8,6,26516,A2,441
8,6,28382,A4,418
8,7,1116,A4,790
8,7,7768,A2,512
8,7,8977,A4,822
8,7,12246,A1,554
8,7,16656,A2,526
8,7,17690,A4,684
8,7,20884,A3,866
8,7,25718,A2,592
8,7,28509,A3,291
8,8,139,A2,637
8,8,3093,A2,634
8,8,6779,A2,587
8,8,8829,A2,526
8,8,10335,A2,565
8,8,11257,A2,659
8,8,14279,A4,696
8,8,16764,A3,629
8,8,18883,A2,485
8,8,20520,A4,838
8,8,23979,A2,638
8,8,27400,A4,891
8,8,28700,A2,100
8,9,1336,A2,619
8,9,3709,A4,684
8,9,5933,A4,748
8,9,7973,A3,646
8,9,9696,A2,568
8,9,11650,A2,700
8,9,14737,A2,568
8,9,16793,A4,898
8,9,18636,A4,701
8,9,20131,A2,362
8,9,21505,A4,828
8,9,25249,A3,725
8,9,27776,A4,630
