月份,日期,故障类别,总次数,平均持续时长
10,13,A4,2,802.0
10,14,A1,0,
10,14,A2,6,482.83
10,14,A3,1,655.0
10,14,A4,2,748.5
10,15,A1,0,
10,15,A2,6,582.83
10,15,A3,0,
10,15,A4,1,275.0
10,16,A1,1,424.0
10,16,A2,5,540.2
10,16,A3,2,441.5
10,16,A4,1,726.0
10,17,A1,0,
10,17,A2,9,572.56
10,17,A3,1,681.0
10,17,A4,1,611.0
10,18,A1,1,560.0
10,18,A2,6,514.33
10,18,A3,1,728.0
10,18,A4,3,765.0
10,19,A1,1,505.0
10,19,A2,8,517.75
10,19,A3,1,740.0
10,19,A4,0,
10,20,A1,2,489.5
10,20,A2,7,547.0
10,20,A3,1,621.0
10,20,A4,1,893.0
10,21,A1,0,
10,21,A2,10,547.9
10,21,A3,1,652.0
10,21,A4,1,603.0
10,22,A1,0,
10,22,A2,3,439.33
10,22,A3,1,653.0
10,22,A4,3,799.0
10,23,A1,2,534.0
10,23,A2,4,550.75
10,23,A3,0,
10,23,A4,3,736.0
10,24,A1,1,510.0
10,24,A2,7,562.71
10,24,A3,0,
10,24,A4,3,881.33
10,25,A1,0,
10,25,A2,7,529.0
10,25,A3,0,
10,25,A4,2,792.0
10,26,A1,0,
10,26,A2,8,512.12
10,26,A3,1,844.0
10,26,A4,1,806.0
10,27,A1,1,458.0
10,27,A2,5,548.0
10,27,A3,0,
10,27,A4,1,682.0
10,28,A1,1,479.0
10,28,A2,7,511.71
10,28,A3,3,794.33
10,28,A4,2,710.0
10,29,A1,0,
10,29,A2,3,479.67
10,29,A3,1,691.0
10,29,A4,1,719.0
10,30,A1,1,376.0
10,30,A2,4,525.75
10,30,A3,0,
10,30,A4,2,796.5
10,31,A1,0,
10,31,A2,3,429.33
10,31,A3,0,
10,31,A4,4,729.5
11,1,A1,0,
11,1,A2,8,569.5
11,1,A3,1,821.0
11,1,A4,3,749.33
11,2,A1,1,438.0
11,2,A2,6,549.17
11,2,A3,0,
11,2,A4,0,
11,3,A1,0,
11,3,A2,5,505.0
11,3,A3,2,868.0
11,3,A4,1,690.0
11,4,A1,0,
11,4,A2,5,553.2
11,4,A3,1,785.0
11,4,A4,0,
11,5,A1,0,
11,5,A2,4,503.0
11,5,A3,1,858.0
11,5,A4,5,745.0
11,6,A1,1,480.0
11,6,A2,3,526.67
11,6,A3,0,
11,6,A4,0,
11,7,A1,0,
11,7,A2,7,544.29
11,7,A3,2,812.5
11,7,A4,0,
11,8,A1,1,503.0
11,8,A2,5,527.2
11,8,A3,1,778.0
11,8,A4,1,712.0
11,9,A1,0,
11,9,A2,4,539.5
11,9,A3,2,732.5
11,9,A4,2,704.0
11,10,A1,1,402.0
11,10,A2,4,443.0
11,10,A3,0,
11,10,A4,2,776.5
11,11,A1,0,
11,11,A2,5,569.8
11,11,A3,2,848.0
11,11,A4,1,714.0
11,12,A1,1,569.0
11,12,A2,6,501.67
11,12,A3,2,753.0
11,12,A4,2,744.0
11,13,A1,1,491.0
11,13,A2,6,516.17
11,13,A3,1,795.0
11,13,A4,2,788.5
11,14,A1,2,431.0
11,14,A2,5,578.0
11,14,A3,1,796.0
11,14,A4,2,801.0
11,15,A1,1,523.0
11,15,A2,7,561.71
11,15,A3,2,631.0
11,15,A4,0,
11,16,A1,1,470.0
11,16,A2,9,547.89
11,16,A3,0,
11,16,A4,4,749.75
11,17,A1,0,
11,17,A2,9,561.56
11,17,A3,1,710.0
11,17,A4,2,806.5
11,18,A1,0,
11,18,A2,3,564.0
11,18,A3,2,650.5
11,18,A4,6,783.17
11,19,A1,1,378.0
11,19,A2,4,532.0
11,19,A3,0,
11,19,A4,1,658.0
11,20,A1,0,
11,20,A2,5,503.2
11,20,A3,0,
11,20,A4,4,616.75
11,21,A1,0,
11,21,A2,10,542.9
11,21,A3,2,637.5
11,21,A4,2,695.0
11,22,A1,1,415.0
11,22,A2,9,547.44
11,22,A3,0,
11,22,A4,1,796.0
11,23,A1,0,
11,23,A2,7,544.86
11,23,A3,0,
11,23,A4,3,761.0
11,24,A1,1,566.0
11,24,A2,6,511.67
11,24,A3,1,624.0
11,24,A4,0,
11,25,A1,0,
11,25,A2,7,561.86
11,25,A3,0,
11,25,A4,4,600.25
11,26,A1,2,443.0
11,26,A2,5,504.0
11,26,A3,1,848.0
11,26,A4,0,
11,27,A1,2,391.0
11,27,A2,6,536.83
11,27,A3,0,
11,27,A4,1,672.0
11,28,A1,1,536.0
11,28,A2,3,509.33
11,28,A3,1,687.0
11,28,A4,5,780.6
11,29,A1,1,466.0
11,29,A2,5,584.8
11,29,A3,1,676.0
11,29,A4,4,732.25
11,30,A1,1,559.0
11,30,A2,9,529.33
11,30,A3,1,602.0
11,30,A4,1,641.0
12,1,A1,1,506.0
12,1,A2,3,488.33
12,1,A3,1,618.0
12,1,A4,0,
12,2,A1,0,
12,2,A2,3,480.67
12,2,A3,1,824.0
12,2,A4,2,826.0
12,3,A1,1,562.0
12,3,A2,3,479.0
12,3,A3,0,
12,3,A4,0,
12,4,A1,1,437.0
12,4,A2,8,546.25
12,4,A3,0,
12,4,A4,3,671.67
12,5,A1,0,
12,5,A2,4,484.25
12,5,A3,1,801.0
12,5,A4,3,772.33
12,6,A1,0,
12,6,A2,4,507.75
12,6,A3,0,
12,6,A4,2,759.0
12,7,A1,0,
12,7,A2,6,504.0
12,7,A3,0,
12,7,A4,1,680.0
12,8,A1,1,402.0
12,8,A2,5,551.0
12,8,A3,0,
12,8,A4,2,740.5
12,9,A1,0,
12,9,A2,8,587.5
12,9,A3,1,821.0
12,9,A4,0,
12,10,A1,0,
12,10,A2,5,553.8
12,10,A3,2,642.0
12,10,A4,1,761.0
12,11,A1,1,502.0
12,11,A2,7,582.43
12,11,A3,0,
12,11,A4,0,
12,12,A1,0,
12,12,A2,8,532.5
12,12,A3,1,802.0
12,12,A4,2,693.0
12,13,A1,0,
12,13,A2,3,491.67
12,13,A3,0,
12,13,A4,0,
12,14,A1,1,395.0
12,14,A2,5,494.4
12,14,A3,1,274.0
12,14,A4,2,761.5
12,15,A1,1,529.0
12,15,A2,6,549.5
12,15,A3,1,745.0
12,15,A4,0,
12,16,A1,0,
12,16,A2,5,513.6
12,16,A3,1,816.0
12,16,A4,2,852.5
12,17,A1,0,
12,17,A2,5,487.8
12,17,A3,1,711.0
12,17,A4,0,
12,18,A1,0,
12,18,A2,6,498.67
12,18,A3,0,
12,18,A4,2,780.5
12,19,A1,0,
12,19,A2,5,544.0
12,19,A3,0,
12,19,A4,2,761.5
12,20,A1,0,
12,20,A2,8,505.25
12,20,A3,0,
12,20,A4,2,738.5
12,21,A1,0,
12,21,A2,8,578.5
12,21,A3,0,
12,21,A4,0,
12,22,A1,0,
12,22,A2,5,565.2
12,22,A3,0,
12,22,A4,2,713.0
12,23,A1,0,
12,23,A2,3,504.67
12,23,A3,1,656.0
12,23,A4,0,
12,24,A1,0,
12,24,A2,7,555.86
12,24,A3,0,
12,24,A4,0,
12,25,A1,0,
12,25,A2,5,593.8
12,25,A3,0,
12,25,A4,2,678.5
12,26,A1,0,
12,26,A2,3,499.33
12,26,A3,1,631.0
12,26,A4,2,753.0
12,27,A1,0,
12,27,A2,7,578.14
12,27,A3,1,756.0
12,27,A4,0,
12,28,A1,1,394.0
12,28,A2,3,463.33
12,28,A3,1,698.0
12,28,A4,1,871.0
12,29,A1,0,
12,29,A2,8,567.88
12,29,A3,1,674.0
12,29,A4,2,634.0
12,30,A1,0,
12,30,A2,6,555.17
12,30,A3,0,
12,30,A4,2,789.0
12,31,A1,0,
12,31,A2,5,521.2
12,31,A3,2,729.0
12,31,A4,0,
